,Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
2659,2,991,1704026145940,PuckControl,FullStrength,5v5,True,True,NeutralZone,"5.7,13.5","5.2,14",888048202.0,#65 Martin Bucko,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,NeutralZone,NeutralZone,,,,888048202,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25.6,0.6","6.4,13.2","-2.5,-11.4","-3.6,11.5","-3.3,-1.8","8.5,-2.9","-24.5,-0.6","-7.7,-4.8","-0.4,-6.9","-5.9,8.1","-3.8,-0.4","0.8,8.7",,,,,,,,,,,,,,,,,,,,,,,,
2660,2,991,1704026146060,Dump,FullStrength,5v5,True,True,NeutralZone,"5.3,13.9","-29.9,8.8",888048202.0,#65 Martin Bucko,Away,153207.0,#20 Michael Fora,Home,,,,,,,,,,,,,,Takeaway,DumpIn,False,,,,,,,,,"888048202,153207",888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25.7,0.6","5.9,13.6","-2.8,-11.9","-4.2,11.8","-3.7,-1.9","8.3,-2.7","-24.6,-0.5","-8,-4.5","-0.5,-7","-6.2,8.5","-4.2,-0.3","0.5,9.1",1.121,5.054,3.857,5.113,2.973,2.565,0.736,3.288,1.649,4.356,3.588,4.56,"0.961,-0.278","-0.786,0.619","-0.614,-0.789","-0.909,0.417","-0.999,-0.054","-0.677,0.736","-0.75,0.662","-0.8,0.6","-0.613,-0.79","-0.612,0.791","-0.975,0.221","-0.625,0.78"
2661,2,992,1704026146080,PuckControl,FullStrength,5v5,True,True,NeutralZone,"5.2,14","-30,7.7",,,,,,,,,,,,,,,,,,,,,,,,,Loose,NeutralZone,AwayTeamZone,,,,,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25.8,0.6","5.8,13.6","-2.9,-11.9","-4.3,11.8","-3.8,-1.9","8.2,-2.6","-24.6,-0.5","-8,-4.5","-0.5,-7.1","-6.2,8.6","-4.2,-0.3","0.5,9.2",,,,,,,,,,,,,,,,,,,,,,,,
2662,2,992,1704026146780,BluelineCrossing,FullStrength,5v5,True,True,NeutralZone,"-7.1,13.5",,888048202.0,#65 Martin Bucko,Away,,,,,,,,,,,,,PossessionMaintained,TowardsOpponent,"888047300,888052795","153207,152416,337835",,,,,,,,,,,,"888048202,888047300,888052795,153207,152416,337835",888052788.0,888048202.0,888047300.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,888052795.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,#69 Lukas Radil,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,Away,"26.4,0.3","2.5,14.6","-5.1,-12.6","-5,0","6.1,-1.8","-25,-0.2","-10.3,-2.8","-1.9,-7.5","-8.2,11","-6.9,1.2","-2.5,11.6","-6.9,12.8",1.137,4.858,4.685,4.579,3.627,0.48,4.539,2.586,4.505,4.741,5.676,3.743,"0.464,-0.886","-1,-0.007","-0.998,0.069","-0.224,0.975","-0.951,-0.309","-0.933,0.36","-0.743,0.669","-0.996,-0.084","-0.661,0.75","-0.801,0.599","-0.89,0.455","-0.942,0.335"
2663,2,996,1704026150820,PuckControl,FullStrength,5v5,True,True,HomeTeamZone,"-30,7.7","-29.7,9.2",153207.0,#20 Michael Fora,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,153207,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26.1,-0.3","-10.5,12","-25.9,-9.2","-20.7,12","-26.2,6.9","-9.4,-11.7","-25.8,0.4","-28.1,8.2","-11,-13.1","-22.6,9.2","-21.8,5.9","-13.2,14.6",,,,,,,,,,,,,,,,,,,,,,,,
2664,2,997,1704026151400,PuckControl,FullStrength,5v5,True,True,HomeTeamZone,"-29.7,9.2","-28.6,11.2",,,,,,,,,,,,,,,,,,,,,,,,,Contested,AwayTeamZone,AwayTeamZone,"153207,888052794",,,,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26,-0.3","-10.2,11.3","-26.8,-10.4","-23.2,10.9","-28.7,8","-10.8,-11.2","-25.9,0.5","-29.1,8.7","-12.4,-13.1","-24.2,6.6","-23.3,3.7","-13.5,14.3",,,,,,,,,,,,,,,,,,,,,,,,
2665,2,997,1704026152020,PuckControl,FullStrength,5v5,True,True,HomeTeamZone,"-28.6,11.2","-27.5,12.3",,,,,,,,,,,,,,,,,,,,,,,,,Loose,AwayTeamZone,AwayTeamZone,,,,,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25.9,-0.3","-10.4,11.4","-25.8,-10.5","-25.7,10.5","-29.2,9.8","-11.3,-10","-25.8,0.6","-29.7,9.5","-13.7,-11.9","-25.9,5.3","-24.7,3.4","-13.9,14",,,,,,,,,,,,,,,,,,,,,,,,
2666,2,998,1704026152220,PuckControl,FullStrength,5v5,True,True,HomeTeamZone,"-27.5,12.3","-22.4,13.6",888052795.0,#69 Lukas Radil,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,888052795,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26,-0.3","-10.5,11.5","-25.2,-10.3","-26.1,11","-29.1,10.1","-11.2,-9.4","-25.8,0.6","-29.5,9.7","-13.9,-11.3","-26.3,5.3","-24.9,3.9","-14.1,13.9",,,,,,,,,,,,,,,,,,,,,,,,
2667,2,999,1704026153540,Pass,FullStrength,5v5,True,True,HomeTeamZone,"-22.5,13.8","-24.2,-0.4",888052795.0,#69 Lukas Radil,Away,888047300.0,#90 Robert Kousal,Away,,,,,,,,Successful,25.6,,,,,,,,,,,,,,,,"888052795,888047300",888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26.6,0.1","-10,10.6","-22.9,-6","-22.8,13.5","-26.3,7.8","-10.9,-2.9","-25.7,0.5","-27.2,9","-14.4,-6.3","-25.2,6","-22.6,5.2","-14.7,10.2",0.584,1.224,3.926,3.633,3.65,4.975,0.644,3.912,3.808,2.919,3.397,4.473,"-0.42,-0.908","0.998,-0.066","0.002,1","0.998,-0.061","0.382,-0.924","-0.236,0.972","0.567,-0.824","0.893,-0.451","-0.342,0.94","0.76,-0.65","0.712,-0.702","0.008,-1"
2668,2,999,1704026153560,PuckControl,FullStrength,5v5,True,True,HomeTeamZone,"-22.4,13.6","-24.2,-0.4",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,,888052788.0,888048202.0,888047300.0,888052795.0,888052794.0,888052792.0,150983.0,153207.0,337830.0,152416.0,337835.0,332924.0,#35 Milan Kloucek,#65 Martin Bucko,#90 Robert Kousal,#69 Lukas Radil,#79 Tomas Zohorna,#24 Libor Hajek,#29 Sandro Aeschlimann,#20 Michael Fora,#44 Matej Stransky,#90 Sven Jung,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26.6,0.1","-9.9,10.6","-22.9,-5.9","-22.7,13.5","-26.3,7.8","-10.9,-2.8","-25.7,0.5","-27.2,9","-14.4,-6.2","-25.2,6","-22.5,5.2","-14.7,10.1",,,,,,,,,,,,,,,,,,,,,,,,
