Period;MatchClock;Timestamp;EventType;TeamStrengthType;TeamStrength;HomeGoalieOnIce;AwayGoalieOnIce;EventPosition;EventStartCoordinate;EventEndCoordinate;EventPrimaryPlayerId;EventPrimaryPlayerName;EventPrimaryTeam;EventSecondaryPlayerId;EventSecondaryPlayerName;EventSecondaryTeam;FaceoffSpot;ShotResult;ShotSpeed;ShotScreeningPlayerIds;ShotXG;GoalAssist1Id;GoalAssist2Id;PassResult;PassSpeed;BluelineCrossingResult;BluelineCrossingDirection;BluelineCrossingAttackerIds;BluelineCrossingDefenderIds;DumpResult;DumpType;DumpAlongTheBoards;ClearType;ClearAlongTheBoards;PuckControlState;PuckControlStartZone;PuckControlEndZone;PuckControlContestingPlayerIds;StoppageOfPlayReason;PenaltyReason;ParticipatingPlayerIds;StartPlayerId1;StartPlayerId2;StartPlayerId3;StartPlayerId4;StartPlayerId5;StartPlayerId6;StartPlayerId7;StartPlayerId8;StartPlayerId9;StartPlayerId10;StartPlayerId11;StartPlayerId12;StartPlayerName1;StartPlayerName2;StartPlayerName3;StartPlayerName4;StartPlayerName5;StartPlayerName6;StartPlayerName7;StartPlayerName8;StartPlayerName9;StartPlayerName10;StartPlayerName11;StartPlayerName12;StartPlayerTeam1;StartPlayerTeam2;StartPlayerTeam3;StartPlayerTeam4;StartPlayerTeam5;StartPlayerTeam6;StartPlayerTeam7;StartPlayerTeam8;StartPlayerTeam9;StartPlayerTeam10;StartPlayerTeam11;StartPlayerTeam12;StartPlayerCoordinates1;StartPlayerCoordinates2;StartPlayerCoordinates3;StartPlayerCoordinates4;StartPlayerCoordinates5;StartPlayerCoordinates6;StartPlayerCoordinates7;StartPlayerCoordinates8;StartPlayerCoordinates9;StartPlayerCoordinates10;StartPlayerCoordinates11;StartPlayerCoordinates12;StartPlayerVelocity1;StartPlayerVelocity2;StartPlayerVelocity3;StartPlayerVelocity4;StartPlayerVelocity5;StartPlayerVelocity6;StartPlayerVelocity7;StartPlayerVelocity8;StartPlayerVelocity9;StartPlayerVelocity10;StartPlayerVelocity11;StartPlayerVelocity12;StartPlayerDirection1;StartPlayerDirection2;StartPlayerDirection3;StartPlayerDirection4;StartPlayerDirection5;StartPlayerDirection6;StartPlayerDirection7;StartPlayerDirection8;StartPlayerDirection9;StartPlayerDirection10;StartPlayerDirection11;StartPlayerDirection12
2;151;1.70402E+12;Pass;FullStrength;5v5;TRUE;TRUE;NeutralZone;-4.3,10.3;-8.6,6.9;888047303;#67 Matej Paulovic;Away;888040859;#61 Martin Kaut;Away;;;;;;;;Successful;6.8;;;;;;;;;;;;;;;;888047303,888040859;888047294;888052788;888047303;888040859;888052789;150983;100375;153207;340161;152416;340163;888047310;#14 Ondrej Vala;#35 Milan Kloucek;#67 Matej Paulovic;#61 Martin Kaut;#33 Jan Kostalek;#29 Sandro Aeschlimann;#10 Andres Ambühl;#20 Michael Fora;#67 Leon Bristedt;#90 Sven Jung;#42 Joakim Nordström;#11 Adam Musil;Away;Away;Away;Away;Away;Home;Home;Home;Home;Home;Home;Away;4.5,11.7;26.2,0.2;-3.5,11.8;-8.2,2.5;5.6,1.8;-24.8,0.7;0.5,8.4;-13.4,3.4;-5.2,8.1;-2.1,15.2;-1.5,14.2;-0.2,16.1;4.1;1.046;4.919;5.061;3.972;0.465;5.13;1.947;5.557;1.049;2.402;0.657;-0.988,0.156;-0.917,0.399;-0.834,-0.551;0.269,0.963;-0.999,0.042;0.88,0.474;-0.85,-0.527;-0.771,-0.637;-0.343,0.939;-0.999,0.035;-0.913,-0.408;-0.696,-0.718
2;153;1.70402E+12;Shot;FullStrength;5v5;TRUE;TRUE;HomeTeamZone;-13.6,5.2;;888040859;#61 Martin Kaut;Away;150983;#29 Sandro Aeschlimann;Home;;Blocked;84;;0.011;;;;;;;;;;;;;;;;;;;;888040859,150983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
